code_nat,text_nat,code_plus,text_plus,country
BAHY30B,Behandling med (PB) phenobarbital,WVXX00,Other intervention for medication,den
BAHY30C,Behandling med (PRM) primidon,WVXX00,Other intervention for medication,den
BAHY30D,Behandling med barbexaclon,WVXX00,Other intervention for medication,den
BAHY30E,Behandling med metharbital,WVXX00,Other intervention for medication,den
BAHY31A,Behandling med ethotoin,WVXX00,Other intervention for medication,den
BAHY31B,Behandling med (PHT) phenytoin,WVXX00,Other intervention for medication,den
BAHY31C,Behandling med amino(diphenylhydantoin)valerianesyre,WVXX00,Other intervention for medication,den
BAHY31D,Behandling med mephenytoin,WVXX00,Other intervention for medication,den
BAHY31E,Behandling med (FOS) fosphenytoin,WVXX00,Other intervention for medication,den
BAHY31V,"Behandling med phenytoin, kombinationer",WVXX00,Other intervention for medication,den
BAHY31W,"Behandling med mephenytoin, kombinationer",WVXX00,Other intervention for medication,den
BAHY32A,Behandling med paramethadion,WVXX00,Other intervention for medication,den
BAHY32B,Behandling med trimethadion,WVXX00,Other intervention for medication,den
BAHY32C,Behandling med ethadion,WVXX00,Other intervention for medication,den
BAHY33A,Behandling med (ESM) ethosuximid,WVXX00,Other intervention for medication,den
BAHY33B,Behandling med phensuximid,WVXX00,Other intervention for medication,den
BAHY33C,Behandling med mesuximid,WVXX00,Other intervention for medication,den
BAHY33V,"Behandling med ethosuximid, kombinationer",WVXX00,Other intervention for medication,den
BAHY34A,Behandling med (CZP) clonazepam,WVXX00,Other intervention for medication,den
BAHY35A,Behandling med (CBZ) carbamazepin,WVXX00,Other intervention for medication,den
BAHY35B,Behandling med (OXC) oxcarbazepin,WVXX00,Other intervention for medication,den
BAHY35C,Behandling med (ESL) eslicarbazepin,WVXX00,Other intervention for medication,den
BAHY35D,Behandling med (RFA) rufinamid,WVXX00,Other intervention for medication,den
BAHY36A,Behandling med (VPA) valproinsyre,WVXX00,Other intervention for medication,den
BAHY36B,Behandling med valpromid,WVXX00,Other intervention for medication,den
