code_nat,text_nat,code_plus,text_plus,country
PCSU85,Removal of stent from bypass from suprarenal abdominal aorta and visceral arteries,PCSU85,Removal of stent from bypass from suprarenal abdominal aorta and visceral arteries,ice
PCSU86,Endoscopic operation on bypass from suprarenal abdominal aorta and visceral arteries,PCSU86,Endoscopic operation on bypass from suprarenal abdominal aorta and visceral arteries,ice
PCSU87,Injection of therapeutic agent into bypass from suprarenal abdominal aorta and visceral,PCSU87,Injection of therapeutic agent into bypass from suprarenal abdominal aorta and visceral,ice
PCSU99,Other repair after previous reconstruction of suprarenal abdominal aorta and visceral arteries,PCSU99,Other repair after previous reconstruction of suprarenal abdominal aorta and visceral arteries,ice
PCSW20,Percutaneous transluminal fenestrerion of suprarenal aorta,PCSW20,Percutaneous transluminal fenestrerion of suprarenal aorta,ice
PCSW99,Other operation on suprarenal abdominal aorta and visceral arteries,PCSW99,Other operation on suprarenal abdominal aorta and visceral arteries,ice
PCXT2D,Embolisation of tumor of liver,PCXT2D,Embolisation of lesion of liver,ice
PCXT4A,Visceral artery PTA,PCSP99,Percutaneous plastic repair of other visceral artery,ice
PCXT5A,Kidney artery PTA,PCSP40,Percutaneous plastic repair of renal artery,ice
PCXT5D,Embolisation of tumor of kidney,PCXT5D,Embolisation of tumor of kidney,ice
PCXT5G,Endovascular embolisation of arterio-venous malformation of kidney,PCXT5G,Endovascular embolisation of arterio-venous malformation of kidney,ice
PCXT5N,Endovascular embolisation for kidney bleeding,PCXT5N,Endovascular embolisation for kidney bleeding,ice
PCXT6D,Endovascular embolisation of spinal tumor,PCXT6D,Endovascular embolisation of spinal tumor,ice
PDDC4A,Arterigography of lower extremity with X-ray,PDDC4A,Arterigography of lower extremity with X-ray,ice
PDDD2A,CT angiography of pelvic organs,PDDD2A,CT angiography of pelvic organs,ice
PDDD4A,CT of lower extremity arteries,PDDD4A,CT of lower extremity arteries,ice
PDDE1A,Ultrasound examination of abdominal aorta,PDDE1A,Ultrasound examination of abdominal aorta,ice
PDDE2A,Ultrasound examination of vasculature of outer genitals,PDDE2A,Ultrasound examination of vasculature of outer genitals,ice
PDDE4D,Lower extremity artery ultrasound examination with Doppler method,PDDE4D,Lower extremity artery ultrasound examination with Doppler method,ice
PDDE4H,Postoperative lower extremity artery ultrasound examination with Doppler method,PDDE4H,Postoperative lower extremity artery ultrasound examination with Doppler method,ice
PDDG4B,MRI examination of abdominal aorta and vasculature of lower extremities,PDDG4B,MRI examination of abdominal aorta and vasculature of lower extremities,ice
PDDG5B,MRI examination of thoracal and abdominal aorta,PDDG5B,MRI examination of thoracal and abdominal aorta,ice
PDSA10,Exploration of infrarenal abdominal aorta,PDSA10,Exploration of infrarenal abdominal aorta,ice
PDSA30,Exploration of iliac artery,PDSA30,Exploration of iliac artery,ice
PDSC10,Suture of infrarenal abdominal aorta,PDSC10,Suture of infrarenal abdominal aorta,ice
PDSC30,Suture of iliac artery,PDSC30,Suture of iliac artery,ice
PDSE10,Thrombectomy or embolectomy of infrarenal abdominal aorta,PDSE10,Thrombectomy or embolectomy of infrarenal abdominal aorta,ice
PDSE30,Thrombectomy or embolectomy of iliac artery,PDSE30,Thrombectomy or embolectomy of iliac artery,ice
PDSF10,Thrombendarterectomy of infrarenal abdominal aorta,PDSF10,Thrombendarterectomy of infrarenal abdominal aorta,ice
PDSF15,Thrombendarterectomy of aorta-iliac segement,PDSF15,Thrombendarterectomy of aorta-iliac segement,ice
PDSF30,Thrombendarterectomy of iliac artery,PDSF30,Thrombendarterectomy of iliac artery,ice
PDSF35,Thrombendarterectomy of iliac-femoral segement,PDSF35,Thrombendarterectomy of iliac-femoral segement,ice
PDSG10,Operation on infrarenal abdominal aorta for aneurysm,PDSG10,Operation on infrarenal abdominal aorta for aneurysm,ice
PDSG20,Bypass from aorta to iliac artery for aneurysm,PDSG20,Bypass from aorta to iliac artery for aneurysm,ice
PDSG21,Bypass from aorta to bilateral iliac arteries for aneurysm,PDSG21,Bypass from aorta to bilateral iliac arteries for aneurysm,ice
PDSG22,Bypass from aorta to iliac and contralateral femoral artery for aneurysm,PDSG22,Bypass from aorta to iliac and contralateral femoral artery for aneurysm,ice
PDSG23,Bypass from aorta to femoral artery for aneurysm,PDSG23,Bypass from aorta to femoral artery for aneurysm,ice
PDSG24,Bypass from aorta to bilateral femoral arteries for aneurysm,PDSG24,Bypass from aorta to bilateral femoral arteries for aneurysm,ice
PDSG30,Operation on iliac artery for aneurysm,PDSG30,Operation on iliac artery for aneurysm,ice
PDSG35,Bypass from iliac to femoral artery for aneurysm,PDSG35,Bypass from iliac to femoral artery for aneurysm,ice
PDSG99,Other operation for aneurysm of infrarenal abdominal aorta and iliac arteries,PDSG99,Other operation for aneurysm of infrarenal abdominal aorta and iliac arteries,ice
PDSH10,Bypass from infrarenal abdominal aorta,PDSH10,Bypass from infrarenal abdominal aorta,ice
PDSH20,Bypass from aorta to iliac artery,PDSH20,Bypass from aorta to iliac artery,ice
PDSH21,Bypass from aorta to bilateral iliac arteries,PDSH21,Bypass from aorta to bilateral iliac arteries,ice
PDSH22,Bypass from aorta to iliac and contralateral femoral artery,PDSH22,Bypass from aorta to iliac and contralateral femoral artery,ice
PDSH23,Bypass from aorta to femoral artery,PDSH23,Bypass from aorta to femoral artery,ice
PDSH24,Bypass from aorta to bilateral femoral arteries,PDSH24,Bypass from aorta to bilateral femoral arteries,ice
PDSH30,Bypass from iliac artery,PDSH30,Bypass from iliac artery,ice
PDSH35,Bypass from iliac to femoral artery,PDSH35,Bypass from iliac to femoral artery,ice
PDSH99,Other bypass from abdominal aorta or iliac artery,PDSH99,Other bypass from abdominal aorta or iliac artery,ice
PDSN10,Plastic repair of infrarenal abdominal aorta,PDSN10,Plastic repair of infrarenal abdominal aorta,ice
PDSN30,Plastic repair of iliac artery,PDSN30,Plastic repair of iliac artery,ice
PDSP10,Percutaneous plastic repair of infrarenal abdominal aorta,PDSP10,Percutaneous plastic repair of infrarenal abdominal aorta,ice
PDSP30,Percutaneous plastic repair of iliac artery,PDSP30,Percutaneous plastic repair of iliac artery,ice
PDSQ10,Insertion of stent into infrarenal abdominal aorta,PDSQ10,Insertion of stent into infrarenal abdominal aorta,ice
PDSQ30,Insertion of stent into iliac artery,PDSQ30,Insertion of stent into iliac artery,ice
PDSR10,Removal of stent from infrarenal abdominal aorta,PDSR10,Removal of stent from infrarenal abdominal aorta,ice
PDSR30,Removal of stent from iliac artery,PDSR30,Removal of stent from iliac artery,ice
PDSS10,Endoscopic operation on infrarenal abdominal aorta,PDSS10,Endoscopic operation on infrarenal abdominal aorta,ice
PDSS30,Endoscopic operation on iliac artery,PDSS30,Endoscopic operation on iliac artery,ice
PDST10,Injection of therapeutic agent into or percutaneous occlusion of infrarenal abdominal aorta,PDST10,Injection of therapeutic agent into or percutaneous occlusion of infrarenal abdominal aorta,ice
PDST30,Injection of therapeutic agent into or percutaneous occlusion of iliac artery,PDST30,Injection of therapeutic agent into or percutaneous occlusion of iliac artery,ice
PDST40,Intravascular occlusion of uterine artery,PDST40,Intravascular occlusion of uterine artery,ice
PDSU70,Exploration of previous reconstruction of infrarenal abdominal aorta or iliac arteries and distal connections,PDSU70,Exploration of previous reconstruction of infrarenal abdominal aorta or iliac arteries and distal connections,ice
PDSU74,Thrombectomy or embolectomy in bypass from infrarenal abdominal aorta or iliac artery,PDSU74,Thrombectomy or embolectomy in bypass from infrarenal abdominal aorta or iliac artery,ice
PDSU80,Percutaneous closure of persisting arteriovenous fistula of bypass from infrarenal abdominal aorta or iliac arte,PDSU80,Percutaneous closure of persisting arteriovenous fistula of bypass from infrarenal abdominal aorta or iliac arte,ice
PDSU81,Closure of persisting arteriovenous fistula of bypass from infrarenal abdominal aorta or iliac artery,PDSU81,Closure of persisting arteriovenous fistula of bypass from infrarenal abdominal aorta or iliac artery,ice
PDSU82,Plastic repair of bypass from infrarenal abdominal aorta or iliac artery,PDSU82,Plastic repair of bypass from infrarenal abdominal aorta or iliac artery,ice
PDSU83,Percutaneous plastic repair of bypass from infrarenal abdominal aorta or iliac artery,PDSU83,Percutaneous plastic repair of bypass from infrarenal abdominal aorta or iliac artery,ice
PDSU84,Insertion of stent into bypass from infrarenal abdominal aorta or iliac artery,PDSU84,Insertion of stent into bypass from infrarenal abdominal aorta or iliac artery,ice
PDSU85,Removal of stent from bypass from infrarenal abdominal aorta or iliac artery,PDSU85,Removal of stent from bypass from infrarenal abdominal aorta or iliac artery,ice
PDSU86,Endoscopic operation on bypass from infrarenal abdominal aorta or iliac artery,PDSU86,Endoscopic operation on bypass from infrarenal abdominal aorta or iliac artery,ice
PDSU87,Injection of therapeutic agent into bypass from infrarenal abdominal aorta or iliac artery,PDSU87,Injection of therapeutic agent into bypass from infrarenal abdominal aorta or iliac artery,ice
PDSU88,Excision of bypass from infrarenal abdominal aorta or iliac artery,PDSU88,Excision of bypass from infrarenal abdominal aorta or iliac artery,ice
PDSU99,Other repair after previous reconstruction of infrarenal abdominal aorta and iliac arteries and distal,PDSU99,Other repair after previous reconstruction of infrarenal abdominal aorta and iliac arteries and distal,ice
PDSW20,Percutaneous transluminal fenestreriion of infrarenal aorta,PDSW20,Percutaneous transluminal fenestreriion of infrarenal aorta,ice
PDSW99,Other operation on infrarenal abdominal aorta and iliac arteries and distal connections,PDSW99,Other operation on infrarenal abdominal aorta and iliac arteries and distal connections,ice
PDXA00,Embolisation of gynecological lesion,PDST40,Intravascular occlusion of uterine artery,ice
PDXT1A,PTA of aorta,PDSP10,Percutaneous plastic repair of infrarenal abdominal aorta,ice
PDXT1Y,Implantaion of endoprothesis to aorta in conjunction to PTA,PDXT1Y,Implantaion of endoprothesis to aorta in conjunction to PTA,ice
PDXT3A,Pelvic artery PTA,PDSP30,Percutaneous plastic repair of iliac artery,ice
PDXT4S,Thrombolysis of pelvic and lower extremity arteries with radiological guidance,PDXT4S,Thrombolysis of pelvic and lower extremity arteries with radiological guidance,ice
PDXT5Y,Implantation of aortaprothesis for aortic aneurysm,PDSQ10,Insertion of stent into infrarenal abdominal aorta,ice
PESA10,Exploration of femoral artery,PESA10,Exploration of femoral artery,ice
PESA11,Exploration of deep femoral artery,PESA11,Exploration of deep femoral artery,ice
PESA12,Exploration of superficial femoral artery,PESA12,Exploration of superficial femoral artery,ice
PESC10,Suture of femoral artery,PESC10,Suture of femoral artery,ice
PESC11,Suture of deep femoral artery,PESC11,Suture of deep femoral artery,ice
PESC12,Suture of superficial femoral artery,PESC12,Suture of superficial femoral artery,ice
PESE10,Thrombectomy or embolectomy of femoral artery,PESE10,Thrombectomy or embolectomy of femoral artery,ice
PESE11,Thrombectomy or embolectomy of deep femoral artery,PESE11,Thrombectomy or embolectomy of deep femoral artery,ice
PESE12,Thrombectomy or embolectomy of superficial femoral artery,PESE12,Thrombectomy or embolectomy of superficial femoral artery,ice
PESF10,Thrombendarterectomy of femoral artery,PESF10,Thrombendarterectomy of femoral artery,ice
PESF11,Thrombendarterectomy of deep femoral artery,PESF11,Thrombendarterectomy of deep femoral artery,ice
PESF12,Thrombendarterectomy of superficial femoral artery,PESF12,Thrombendarterectomy of superficial femoral artery,ice
PESG10,Operation for aneurysm of femoral artery,PESG10,Operation for aneurysm of femoral artery,ice
PESG11,Operation for aneurysm of deep femoral artery,PESG11,Operation for aneurysm of deep femoral artery,ice
PESG12,Operation for aneurysm of superficial femoral artery,PESG12,Operation for aneurysm of superficial femoral artery,ice
PESH11,Bypass from deep femoral artery,PESH11,Bypass from deep femoral artery,ice
PESH12,Bypass from superficial femoral artery,PESH12,Bypass from superficial femoral artery,ice
PESH20,Bypass from femoral to popliteal artery above knee,PESH20,Bypass from femoral to popliteal artery above knee,ice
PESH30,Bypass from femoral artery to popliteal artery below knee,PESH30,Bypass from femoral artery to popliteal artery below knee,ice
PESH99,Other bypass from femoral artery,PESH99,Other bypass from femoral artery,ice
PESL10,Construction of arteriovenous fistula from femoral artery,PESL10,Construction of arteriovenous fistula from femoral artery,ice
PESM10,Closure of arteriovenous fistula of femoral artery,PESM10,Closure of arteriovenous fistula of femoral arter,ice
PESN10,Plastic repair of femoral artery,PESN10,Plastic repair of femoral artery,ice
PESN11,Plastic repair of deep femoral artery,PESN11,Plastic repair of deep femoral artery,ice
PESN12,Plastic repair of superficial femoral artery,PESN12,Plastic repair of superficial femoral artery,ice
PESP10,Percutaneous plastic repair of femoral artery,PESP10,Percutaneous plastic repair of femoral artery,ice
PESP11,Percutaneous plastic repair of deep femoral artery,PESP11,Percutaneous plastic repair of deep femoral artery,ice
PESP12,Percutaneous plastic repair of superficial femoral artery,PESP12,Percutaneous plastic repair of superficial femoral artery,ice
PESQ10,Insertion of stent into femoral artery,PESQ10,Insertion of stent into femoral artery,ice
PESQ11,Insertion of stent into deep femoral artery,PESQ11,Insertion of stent into deep femoral artery,ice
PESQ12,Insertion of stent into superficial femoral artery,PESQ12,Insertion of stent into superficial femoral artery,ice
PESQ99,Other insertion of endovascular graft into femoral artery or its branches,PESQ99,Other insertion of endovascular graft into femoral artery or its branches,ice
PESR10,Removal of stent from femoral artery,PESR10,Removal of stent from femoral artery,ice
PESR11,Removal of stent from deep femoral artery,PESR11,Removal of stent from deep femoral artery,ice
PESR12,Removal of stent from superficial femoral artery,PESR12,Removal of stent from superficial femoral artery,ice
PESS10,Endoscopic operation on femoral artery,PESS10,Endoscopic operation on femoral artery,ice
PESS11,Endoscopic operation on deep femoral artery,PESS11,Endoscopic operation on deep femoral artery,ice
PESS12,Endoscopic operation on superficial femoral artery,PESS12,Endoscopic operation on superficial femoral artery,ice
PEST10,Injection of therapeutic agent into or percutaneous occlusion of femoral artery,PEST10,Injection of therapeutic agent into or percutaneous occlusion of femoral artery,ice
PEST11,Injection of therapeutic agent into or percutaneous occlusion of deep femoral artery,PEST11,Injection of therapeutic agent into or percutaneous occlusion of deep femoral artery,ice
PEST12,Injection of therapeutic agent into or percutaneous occlusion of superficial femoral artery,PEST12,Injection of therapeutic agent into or percutaneous occlusion of superficial femoral artery,ice
PEST20,Injection of therapeutic or sclerosing agent into bypass from femoral to popliteal artery above knee,PEST20,Injection of therapeutic or sclerosing agent into bypass from femoral to popliteal artery above knee,ice
PESU60,Thrombectomy of arterio-venous fistel from femoral artery,PESU60,Thrombectomy of arterio-venous fistel from femoral artery,ice
PESU62,Plastic repair of arterio-venous fistel from femoral artery,PESU62,Plastic repair of arterio-venous fistel from femoral artery,ice
PESU64,Percutaneous plastic repair of arterio-venous fistel of femoral artery,PESU64,Percutaneous plastic repair of arterio-venous fistel of femoral artery,ice
PESU70,Exploration of previous reconstruction of femoral artery with branches or connection to popliteal artery,PESU70,Exploration of previous reconstruction of femoral artery with branches or connection to popliteal artery,ice
PESU74,Thrombectomy or embolectomy of bypass from femoral to popliteal artery,PESU74,Thrombectomy or embolectomy of bypass from femoral to popliteal artery,ice
PESU76,Operation for aneurysm of bypass from femoral to popliteal artery,PESU76,Operation for aneurysm of bypass from femoral to popliteal artery,ice
PESU80,Percutaneous closure of persisting arteriovenous fistula of bypass from femoral or popliteal artery to popliteal artery,PESU80,Percutaneous closure of persisting arteriovenous fistula of bypass from femoral or popliteal artery to popliteal artery,ice
PESU81,Closure of persisting arteriovenous fistula of bypass from femoral to popliteal artery,PESU81,Closure of persisting arteriovenous fistula of bypass from femoral to popliteal artery,ice
PESU82,Plastic repair of bypass from femoral to popliteal artery,PESU82,Plastic repair of bypass from femoral to popliteal artery,ice
PESU83,Percutaneous plastic repair of bypass from femoral to popliteal artery,PESU83,Percutaneous plastic repair of bypass from femoral to popliteal artery,ice
PESU84,Insertion of stent into bypass from femoral to popliteal artery,PESU84,Insertion of stent into bypass from femoral to popliteal artery,ice
PESU85,Removal of stent from bypass from femoral to popliteal artery,PESU85,Removal of stent from bypass from femoral to popliteal artery,ice
PESU86,Endoscopic operation on bypass from femoral to popliteal artery,PESU86,Endoscopic operation on bypass from femoral to popliteal artery,ice
PESU87,Injection of therapeutic agent into bypass from femoral to popliteal artery,PESU87,Injection of therapeutic agent into bypass from femoral to popliteal artery,ice
PESU88,Excision of bypass from femoral to popliteal artery,PESU88,Excision of bypass from femoral to popliteal artery,ice
PESU89,Ligature of bypass from femoral to popliteal artery,PESU89,Ligature of bypass from femoral to popliteal artery,ice
PESU99,Other repair after previous reconstruction of femoral artery with branches and connection to popliteal,PESU99,Other repair after previous reconstruction of femoral artery with branches and connection to popliteal,ice
PESW99,Other operation on femoral artery with branches and connection to popliteal artery,PESW99,Other operation on femoral artery with branches and connection to popliteal artery,ice
PEXG00,Compression to occlude pseudoaneurism of femoral artery,PEXG00,Compression to occlude pseudoaneurism of femoral artery,ice
PEXT1A,Femoral artery PTA,PESP10,Percutaneous plastic repair of femoral artery,ice
PFSA10,Exploration of popliteal artery,PFSA10,Exploration of popliteal artery,ice
PFSA30,Exploration of artery of lower leg or foot,PFSA30,Exploration of artery of lower leg or foot,ice
PFSB10,Ligature of popliteal artery,PFSB10,Ligature of popliteal artery,ice
PFSB30,Ligature of artery of lower leg or foot,PFSB30,Ligature of artery of lower leg or foot,ice
PFSC10,Suture of popliteal artery,PFSC10,Suture of popliteal artery,ice
PFSE10,Thrombectomy or embolectomy of popliteal artery,PFSE10,Thrombectomy or embolectomy of popliteal artery,ice
PFSE30,Thrombectomy or embolectomy of artery of lower leg or foot,PFSE30,Thrombectomy or embolectomy of artery of lower leg or foot,ice
PFSG10,Operation for aneurysm of popliteal artery,PFSG10,Operation for aneurysm of popliteal artery,ice
PFSH10,Bypass from popliteal artery,PFSH10,Bypass from popliteal artery,ice
PFSH20,Bypass from femoral or popliteal artery to artery of lower leg,PFSH20,Bypass from femoral or popliteal artery to artery of lower leg,ice
PFSH21,Bypass from femoral or popliteal artery to proximal anterior tibial artery,PFSH21,Bypass from femoral or popliteal artery to proximal anterior tibial artery,ice
PFSH22,Bypass from femoral or popliteal artery to distal anterior tibial artery,PFSH22,Bypass from femoral or popliteal artery to distal anterior tibial artery,ice
PFSH23,Bypass from femoral or popliteal artery to tibioperoneal trunk,PFSH23,Bypass from femoral or popliteal artery to tibioperoneal trunk,ice
PFSH24,Bypass from femoral or popliteal artery to proximal posterior tibial artery,PFSH24,Bypass from femoral or popliteal artery to proximal posterior tibial artery,ice
PFSH25,Bypass from femoral or popliteal artery to distal posterior tibial artery,PFSH25,Bypass from femoral or popliteal artery to distal posterior tibial artery,ice
PFSH26,Bypass from femoral or popliteal artery to proximal peroneal artery,PFSH26,Bypass from femoral or popliteal artery to proximal peroneal artery,ice
PFSH27,Bypass from femoral or popliteal artery to distal peroneal artery,PFSH27,Bypass from femoral or popliteal artery to distal peroneal artery,ice
PFSH28,Bypass from femoral or popliteal artery to dorsal artery of foot,PFSH28,Bypass from femoral or popliteal artery to dorsal artery of foot,ice
PFSH29,Bypass from femoral or popliteal artery to posterior tibial artery in foot,PFSH29,Bypass from femoral or popliteal artery to posterior tibial artery in foot,ice
PFSH99,Other bypass from femoral or popliteal artery to artery of lower leg or foot,PFSH99,Other bypass from femoral or popliteal artery to artery of lower leg or foot,ice
PFSL90,Construction of arteriovenous fistula in lower leg or foot,PFSL90,Construction of arteriovenous fistula in lower leg or foot,ice
PFSL95,Modification of distal bypass anastomosis in lower leg or foot to enhance flow,PFSL95,Modification of distal bypass anastomosis in lower leg or foot to enhance flow,ice
PFSN10,Plastic repair of popliteal artery,PFSN10,Plastic repair of popliteal artery,ice
PFSP10,Percutaneous plastic repair of popliteal artery,PFSP10,Percutaneous plastic repair of popliteal artery,ice
PFSP30,Percutaneous plastic repair of artery of lower leg,PFSP30,Percutaneous plastic repair of artery of lower leg,ice
PFSQ10,Insertion of stent into popliteal artery,PFSQ10,Insertion of stent into popliteal artery,ice
PFSQ30,Insertion of stent into artery of lower leg,PFSQ30,Insertion of stent into artery of lower leg,ice
PFSR10,Removal of stent from popliteal artery,PFSR10,Removal of stent from popliteal artery,ice
PFSR30,Removal of stent from artery of lower leg,PFSR30,Removal of stent from artery of lower leg,ice
PFSS10,Endoscopic operation on popliteal artery,PFSS10,Endoscopic operation on popliteal artery,ice
PFST10,Injection of therapeutic agent into or percutaneous occlusion of popliteal artery,PFST10,Injection of therapeutic agent into or percutaneous occlusion of popliteal artery,ice
PFST30,Injection of therapeutic agent into or percutaneous occlusion of artery of lower leg,PFST30,Injection of therapeutic agent into or percutaneous occlusion of artery of lower leg,ice
PFST87,Injection of therapeutic or sclerosing agent into femoral or popliteal artery,PFST87,Injection of therapeutic agent into femoral or popliteal artery,ice
PFSU70,Exploration of previous bypass from femoral or popliteal artery to infrapopliteal arteries or reconstruction of,PFSU70,Exploration of previous bypass from femoral or popliteal artery to infrapopliteal arteries or reconstruction of,ice
PFSU74,Thrombectomy or embolectomy of bypass from femoral or popliteal artery to infrapopliteal arteries,PFSU74,Thrombectomy or embolectomy of bypass from femoral or popliteal artery to infrapopliteal arteries,ice
PFSU76,Operation for aneurysm of bypass from femoral or popliteal artery to infrapopliteal arteries,PFSU76,Operation for aneurysm of bypass from femoral or popliteal artery to infrapopliteal arteries,ice
PFSU80,Percutaneous closure of persisting arteriovenous fistula of bypass from femoral or popliteal artery to infrapopliteal artery,PFSU80,Percutaneous closure of persisting arteriovenous fistula of bypass from femoral or popliteal artery to infrapopliteal artery,ice
PFSU81,Closure of persisting arteriovenous fistula of bypass from femoral or popliteal artery to infrapopliteal arteries,PFSU81,Closure of persisting arteriovenous fistula of bypass from femoral or popliteal artery to infrapopliteal arteries,ice
PFSU82,Plastic repair of bypass from femoral or popliteal artery to infrapopliteal arteries,PFSU82,Plastic repair of bypass from femoral or popliteal artery to infrapopliteal arteries,ice
PFSU83,Percutaneous plastic repair of bypass from femoral or popliteal artery to infrapopliteal arteries,PFSU83,Percutaneous plastic repair of bypass from femoral or popliteal artery to infrapopliteal arteries,ice
PFSU84,Insertion of stent into bypass from femoral or popliteal artery to infrapopliteal arteries,PFSU84,Insertion of stent into bypass from femoral or popliteal artery to infrapopliteal arteries,ice
PFSU85,Removal of stent from bypass from femoral or popliteal artery to infrapopliteal arteries,PFSU85,Removal of stent from bypass from femoral or popliteal artery to infrapopliteal arteries,ice
PFSU86,Endoscopic operation on bypass from femoral or popliteal artery to infrapopliteal arteries,PFSU86,Endoscopic operation on bypass from femoral or popliteal artery to infrapopliteal arteries,ice
PFSU87,Injection of therapeutic agent into bypass from femoral or popliteal artery to infrapopliteal arteries,PFSU87,Injection of therapeutic agent into bypass from femoral or popliteal artery to infrapopliteal arteries,ice
PFSU88,Excision of bypass from femoral or popliteal artery to infrapopliteal arteries,PFSU88,Excision of bypass from femoral or popliteal artery to infrapopliteal arteries,ice
PFSU89,Ligature of bypass from femoral or popliteal artery to infrapopliteal arteries,PFSU89,Ligature of bypass from femoral or popliteal artery to infrapopliteal arteries,ice
PFSU96,Re-bypass from femoral or popliteal artery to lower leg of foot,PFSU96,Re-bypass from femoral or popliteal artery to lower leg of foot,ice
PFSU99,Other repair after previous bypass from femoral or popliteal artery to infrapopliteal arteries or reconstruction of popliteal artery and arteries of l,PFSU99,Other repair after previous bypass from femoral or popliteal artery to infrapopliteal arteries or reconstruction of popliteal artery and arteries of lower leg and foot,ice
PFSW99,Other connection from femoral artery to infrapopliteal arteries or operations on popliteal artery and arteries,PFSW99,Other connection from femoral artery to infrapopliteal arteries or operations on popliteal artery and arteries,ice
PFX11M,Measurement of periferal venous pressure,PFX11M,Measurement of periferal venous pressure,ice
PFXG00,Compression to occlude pseudoaneurism of popliteal artery,PFXG00,Compression to occlude pseudoaneurism of popliteal artery,ice
PFXT1A,"PTA of arteries of knee, lower leg and ankle",PFSP10,Percutaneous plastic repair of popliteal artery,ice
PGSH10,Bypass from axillary to contralateral axillary artery,PGSH10,Bypass from axillary to contralateral axillary artery,ice
PGSH20,Bypass from axillary to iliac artery,PGSH20,Bypass from axillary to iliac artery,ice
PGSH21,Bypass from axillary to bilateral iliac arteries,PGSH21,Bypass from axillary to bilateral iliac arteries,ice
PGSH22,Bypass from axillary to femoral artery,PGSH22,Bypass from axillary to femoral artery,ice
PGSH23,Bypass from axillary to bilateral femoral arteries,PGSH23,Bypass from axillary to bilateral femoral arteries,ice
PGSH30,Bypass from iliac to contralateral femoral artery,PGSH30,Bypass from iliac to contralateral femoral artery,ice
PGSH31,Bypass from iliac to femoral artery through obturator foramen,PGSH31,Bypass from iliac to femoral artery through obturator foramen,ice
PGSH40,Bypass from femoral to contralateral femoral artery,PGSH40,Bypass from femoral to contralateral femoral artery,ice
PGSH99,Other extra-anatomic bypass,PGSH99,Other extra-anatomic bypass,ice
PGSU70,Exploration of extra-anatomic bypass,PGSU70,Exploration of extra-anatomic bypass,ice
PGSU74,Thrombectomy or embolectomy of extra-anatomic bypass,PGSU74,Thrombectomy or embolectomy of extra-anatomic bypass,ice
PGSU76,Operation for aneurysm of extra-anatomic bypass,PGSU76,Operation for aneurysm of extra-anatomic bypass,ice
PGSU83,Percutaneous plastic repair of extra-anatomic bypass,PGSU83,Percutaneous plastic repair of extra-anatomic bypass,ice
PGSU84,Insertion of stent into extra-anatomic bypass,PGSU84,Insertion of stent into extra-anatomic bypass,ice
PGSU85,Removal of stent from extra-anatomic bypass,PGSU85,Removal of stent from extra-anatomic bypass,ice
PGSU86,Endoscopic operation on extra-anatomic bypass,PGSU86,Endoscopic operation on extra-anatomic bypass,ice
PGSU87,Injection of therapeutic agent into extra-anatomic bypass,PGSU87,Injection of therapeutic agent into extra-anatomic bypass,ice
PGSU88,Excision of extra-anatomic bypass,PGSU88,Excision of extra-anatomic bypass,ice
PGSU89,Ligature of extra-anatomic bypass,PGSU89,Ligature of extra-anatomic bypass,ice
PGSU93,Injection of therapeutic or sclerosing agent into extra-anatomic bypass,PGSU93,Injection of therapeutic or sclerosing agent into extra-anatomic bypass,ice
PGSU96,Extra-anatomic re-bypass,PGSU96,Extra-anatomic re-bypass,ice
PGSU99,Other repair of extra-anatomic bypass,PGSU99,Other repair of extra-anatomic bypass,ice
PGSX99,Other extra-anatomic bypass operation,PGSX99,Other extra-anatomic bypass operation,ice
PGXA00,PTA of artery or arteries not elsewhere classified,PGXA00,PTA of artery or arteries not elsewhere classified,ice
PGXA05,PTA with stent not elsewhere classified,PGXA05,PTA with stent not elsewhere classified,ice
PGXA10,PTA of arterio-venous shunt for dialysis,PGXA10,PTA of arterio-venous shunt for dialysis,ice
PGXB00,Endovascular arterial thrombolysis with radiological guidance not elsewher classified,PGXB00,Endovascular arterial thrombolysis with radiological guidance not elsewher classified,ice
PGXB05,Percutaneous aspiration throbectomy,PGXB05,Percutaneous aspiration throbectomy,ice
PGXB10,Endovascular thrombolysis of arterio-venous shunt for dialysis with radiological guidance,PGXB10,Endovascular thrombolysis of arterio-venous shunt for dialysis with radiological guidance,ice
PGXG00,Endovascular embolisation or occlusion of aftery not elsewhere classified,PGXG00,Endovascular embolisation or occlusion of aftery not elsewhere classified,ice
PGXH00,Intra-atrial loca vasoconstrictive treatment,PGXH00,Intra-atrial loca vasoconstrictive treatment,ice
PGXX00,Removal of foreign body from blood vessel with radiological guidance,PGXX00,Removal of foreign body from blood vessel with radiological guidance,ice
PHDB00,Localisation of central venous catheter,PHDB00,Localisation of central venous catheter,ice
PHDB3L,Localisation of catheter in portal vein,PHDB3L,Localisation of catheter in portal vein,ice
PHDC1A,Flebography of upper extremity with X-ray,PHDC1A,Flebography of upper extremity with X-ray,ice
PHDC2A,Flebography of lower extremity with X-ray,PHDC2A,Flebography of lower extremity with X-ray,ice
PHDC30,Flebography of orbita,PHDC30,Flebography of orbita,ice
PHDC3A,Flebography of internal organs with X-ray,PHDC3A,Flebography of internal organs with X-ray,ice
PHDC3E,Flebography of liver with X-ray,PHDC3E,Flebography of liver with X-ray,ice
