procprop,varval_text_comb,extens,nat_ver
06E09,Enteroscopy for gastrointestinal problem,False,est/swe/lat/ice/den/fin/nor
06E10,Colonoscopy for gastrointestinal diseases,False,est/swe/lat/ice/den/fin/nor
06E11,Endoscopy of upper gastrointestinal tract for gastrointestinal problem,False,est/swe/lat/ice/den/fin/nor
06E12,Rectosigmoideoscopy for gastrointestinal problem,False,est/swe/lat/ice/den/fin/nor
06E13,Endoscopic insertion of stent to biliary tract or pancreas for gastrointestinal problem,False,est/swe/lat/ice/den/fin/nor
06E14,Other therapeutic endoscopy of biliary tract for gastrointestinal problem,False,est/swe/lat/ice/den/fin/nor
06E20,Capsular endoscopy,False,est/swe/lat/ice/den/fin/nor
06S01,"Stomach, esophagus or duodenum procedure",True,est/swe/lat/ice/den/fin/nor
06S02,Major small or large bowel procedure,True,est/swe/lat/ice/den/fin/nor
06S03,Rectal resection,True,est/swe/lat/ice/den/fin/nor
06S04,Peritoneal adhesiolysis,False,est/swe/lat/ice/den/fin/nor
06S05,Appendectomy,False,est/swe/lat/ice/den/fin/nor
06S06,Small or large bowel procedure,False,est/swe/lat/ice/den/fin/nor
06S07,Minor intestinal procedure,False,est/swe/lat/ice/den/fin/nor
06S08,Inguinal or femoral herniotomy,False,est/swe/lat/ice/den/fin/nor
06S09,Other herniotomy,False,est/swe/lat/ice/den/fin/nor
06S10,Other digestive system OR procedure,False,est/swe/lat/ice/den/fin/nor
06S20,Diagnostic pleural procedure,False,est/swe/lat/ice/den/fin/nor
06S21,"Major operation on stomach, esophagus and duodenum",True,est/swe/lat/ice/den/fin/nor
06S30,Removal of retroperitoneal tumour,False,est/swe/lat/ice/den/fin/nor
07D31,"Diagnostic procedure of abdominal, retroperitoneal and pelvic organs in MDC 07",False,fin
07D32,"Demanding diagnostic procedure of abdominal, retroperitoneal and pelvic  organs in MDC 07",False,fin
07D61,Diagnostic procedure of peripheral vascular system in MDC 07,False,fin
07D62,Demanding diagnostic procedure of peripheral vascular system in MDC 07,False,fin
07E06,Therapeutic endoscopy of upper gastrointestinal tract for hepatobiliar problem,False,est/swe/lat/ice/den/fin/nor
07E13,Endoscopic insertion of stent to biliary tract or pancreas for hepatobiliar problem,False,est/swe/lat/ice/den/fin/nor
07E14,Other therapeutic endoscopy of biliary tract for hepatobiliary problem,False,est/swe/lat/ice/den/fin/nor
07E15,Diagnostic endoscopy of biliary tract for gastrointestinal problem,False,est/swe/lat/ice/den/fin/nor
07S01,"Pancreas, liver or splanchnic shunt procedure",True,est/swe/lat/ice/den/fin/nor
07S02,Common bile duct exploration,False,est/swe/lat/ice/den/fin/nor
07S03,Cholecystectomy,False,est/swe/lat/ice/den/fin/nor
07S04,Laparoscopic cholecystectomy,False,est/swe/lat/ice/den/fin/nor
07S05,Other biliary tract procedure,False,est/swe/lat/ice/den/fin/nor
07S06,Hepatobiliary diagnostic procedure,False,est/swe/lat/ice/den/fin/nor
07S07,Other hepatobiliary or pancreas procedure,False,est/swe/lat/ice/den/fin/nor
07S08,Endoscopic procedure of choledochus or pancreas,False,est/swe/lat/ice/den/fin/nor
08D02,"Demanding diagnostic procedure of head, neck and central nervous system in MDC 08",False,fin
08D41,Diagnostic procedure of musculoskeletal system in MDC08,False,fin
08D42,Demanding diagnostic procedure of musculoskeletal system in MDC 08,False,fin
08D61,Diagnostic procedure of peripheral vascular system in MDC 08,False,fin
08S02,Wound debriment or skin graft procedure,False,est/swe/lat/ice/den/fin/nor
08S04,Musculoskeletal system or connective tissue biopsy,False,est/swe/lat/ice/den/fin/nor
08S06,Amputation,True,est/swe/lat/ice/den/fin/nor
08S08,Back or neck procedure,True,est/swe/lat/ice/den/fin/nor
08S10,Foot and leg procedures for infection,False,est/swe/lat/ice/den/fin/nor
